Date : 2026-05-27 13:54:18
Directory : h:\C#\Projects\5e_App
Total : 67 files,  36142 codes, 755 comments, 5458 blanks, all 42355 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| h:\C#\Projects\5e_App\Assets\Scripts\SaveLoad\TestSaveSystem.cs                                                                             | C#          |         36 |          0 |          5 |         41 |
| h:\C#\Projects\5e_App\Assets\Scripts\ScriptableObject\HeroClass.cs                                                                          | C#          |          6 |          0 |          2 |          8 |
| h:\C#\Projects\5e_App\Assets\Scripts\ScriptableObject\Race.cs                                                                               | C#          |          6 |          0 |          2 |          8 |
| h:\C#\Projects\5e_App\Assets\Scripts\TestHero.cs                                                                                            | C#          |         13 |          0 |          3 |         16 |
| h:\C#\Projects\5e_App\Assets\Scripts\UI\AbilityWindow_UI.cs                                                                                 | C#          |         37 |          0 |          9 |         46 |
| h:\C#\Projects\5e_App\Assets\Scripts\UI\Basic_UI.cs                                                                                         | C#          |         93 |          2 |         10 |        105 |
| h:\C#\Projects\5e_App\Assets\Scripts\UI\Hero_MainInfo_UI.cs                                                                                 | C#          |         39 |          1 |          5 |         45 |
| h:\C#\Projects\5e_App\Assets\Scripts\UI\Saves_Skills_UI.cs                                                                                  | C#          |         14 |          0 |          5 |         19 |
| h:\C#\Projects\5e_App\Assets\Scripts\UI\Test_UI.cs                                                                                          | C#          |         19 |          2 |          5 |         26 |
| h:\C#\Projects\5e_App\Assets\Scripts\UI\UI.cs                                                                                               | C#          |         61 |         35 |         10 |        106 |
| h:\C#\Projects\5e_App\Assets\Scripts\UI\UI_Controller.cs                                                                                    | C#          |         13 |          0 |          9 |         22 |
| h:\C#\Projects\5e_App\Assets\Scripts\misc\Enums.cs                                                                                          | C#          |          2 |          0 |          2 |          4 |
| h:\C#\Projects\5e_App\Assets\Scripts\misc\Singleton.cs                                                                                      | C#          |         17 |          0 |          2 |         19 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl                                                                         | UnityShader |        130 |         18 |         31 |        179 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                                            | UnityShader |        113 |          2 |         31 |        146 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                                  | UnityShader |        123 |          3 |         30 |        156 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                                         | UnityShader |        113 |          2 |         31 |        146 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                                    | UnityShader |        253 |          4 |         70 |        327 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                                        | UnityShader |        253 |          4 |         65 |        322 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                                             | UnityShader |        198 |         10 |         51 |        259 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                                             | UnityShader |        193 |          8 |         52 |        253 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                                 | UnityShader |         82 |          4 |         21 |        107 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader                                                              | UnityShader |        290 |         15 |         85 |        390 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                                     | UnityShader |        192 |          8 |         51 |        251 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                                             | UnityShader |        104 |          8 |         28 |        140 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                                    | UnityShader |        123 |          4 |         33 |        160 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                                            | UnityShader |        253 |          4 |         70 |        327 |
| h:\C#\Projects\5e_App\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                                                         | UnityShader |        111 |          0 |         21 |        132 |
